Cards,Board,Action,AverageRank,Count
"2C,2D","",allin,63.3461335500081,3
"2C,2H","",allin,127,1
"2C,2S","",allin,100.127998352051,1
"2C,3C","",call,53.0710881673373,26
"2C,3D","",call,42.6121759641738,21
"2C,3H","",allin,68.0031967163086,1
"2C,3S","",bet,98.0128021240234,1
"2C,4C","",call,64.8494546951786,31
"2C,4D","",allin,114,1
"2C,4H","",allin,119.5,2
"2C,4S","",call,39.2836502492428,16
"2C,5C","",call,58.8624247312546,16
"2C,5D","",call,54.0486610868703,23
"2C,5H","",call,56.9069292685565,17
"2C,5S","",raise,100.208000183105,1
"2C,6C","",call,50.8003782166375,18
"2C,6D","",call,60.8835918108622,24
"2C,6H","",fold,41.6805230379105,26
"2C,6S","",call,55.8764850139618,20
"2C,7C","",allin,123.207397460938,1
"2C,7D","",bet,100.076797485352,1
"2C,7H","",call,66.6791321550097,28
"2C,7S","",fold,37.5631416042646,24
"2C,8C","",call,55.5902442169189,25
"2C,8D","",allin,196,1
"2C,8H","",call,46.6033954837106,22
"2C,8S","",fold,43.647482747617,23
"2C,9C","",allin,123.033798217773,1
"2C,9D","",bet,69.1024017333984,1
"2C,9H","",fold,49.4214200973511,20
"2C,9S","",call,58.7625996416265,22
"2C,AC","",raise,107.205596923828,1
"2C,AD","",call,68.5759997512355,33
"2C,AH","",call,52.304030158303,33
"2C,AS","",allin,60.0127983093262,1
"2C,JC","",allin,123.080101013184,1
"2C,JD","",call,71.9274181452664,22
"2C,JH","",bet,123.282501220703,1
"2C,JS","",allin,123.048400878906,1
"2C,KC","",allin,136,1
"2C,KD","",call,59.5444048968228,22
"2C,KH","",fold,72.1011541806734,13
"2C,KS","",call,52.7379822523698,23
"2C,QC","",raise,120.15779876709,2
"2C,QD","",bet,123.261001586914,1
"2C,QH","",raise,122,1
"2C,QS","",fold,56.5378998756409,20
"2C,TC","",raise,77.2048034667969,1
"2C,TD","",allin,144.564793586731,2
"2C,TH","",call,57.2024375200272,16
"2C,TS","",call,54.1269917488098,24
"2D,2H","",allin,100.026397705078,1
"2D,2S","",raise,100.10880279541,1
"2D,3C","",fold,43.1658574285961,21
"2D,3D","",allin,114,1
"2D,3H","",bet,116,2
"2D,3S","",allin,101.052001953125,1
"2D,4C","",bet,119,1
"2D,4D","",allin,114,1
"2D,4H","",raise,80.4581343332926,3
"2D,4S","",call,57.1950073735467,29
"2D,5C","",call,58.8547875136137,32
"2D,5D","",call,80.0738747119904,16
"2D,5H","",fold,53.4261865408524,23
"2D,5S","",call,64.7903853416443,20
"2D,6C","",call,69.7676402409871,15
"2D,6D","",fold,62.8225865704673,14
"2D,6H","",call,63.9942224997061,27
"2D,6S","",allin,100.038398742676,1
"2D,7C","",call,57.4589584995719,34
"2D,7D","",call,64.1055306593577,30
"2D,7H","",call,31.6063124537468,16
"2D,7S","",allin,123.105400085449,1
"2D,8C","",call,69.6350959280263,23
"2D,8D","",fold,68.6724294213688,17
"2D,8H","",bet,96.1024017333984,1
"2D,8S","",raise,116,1
"2D,9C","",call,64.5030711264837,21
"2D,9D","",call,54.070666525099,9
"2D,9H","",allin,130,1
"2D,9S","",allin,121,1
"2D,AC","",call,55.4438332981534,27
"2D,AD","",raise,112.013603210449,1
"2D,AH","",allin,107.807998657227,3
"2D,AS","",bet,109.208000183105,1
"2D,JC","",call,85.7991568938546,23
"2D,JD","",call,55.1030461788177,26
"2D,JH","",raise,122,1
"2D,JS","",call,68.3550814169425,27
"2D,KC","",raise,69.2048034667969,1
"2D,KD","",allin,171.006401062012,2
"2D,KH","",fold,54.6973946094513,18
"2D,KS","",allin,123.130500793457,1
"2D,QC","",call,47.3037499189377,24
"2D,QD","",allin,120,1
"2D,QH","",fold,44.2559700250626,20
"2D,QS","",call,50.1359521102905,25
"2D,TC","",call,66.2716224988302,27
"2D,TD","",allin,100.115196228027,1
"2D,TH","",call,33.7271285738264,14
"2D,TS","",call,40.6517384785872,26
"2H,2S","",allin,135,1
"2H,3C","",call,45.2380488494347,29
"2H,3D","",call,77.3601005673409,16
"2H,3H","",bet,115,1
"2H,3S","",call,63.119023771847,17
"2H,4C","",fold,56.3802556991577,29
"2H,4D","",allin,68.0511999130249,2
